name,exp,variant,workload,rc,insts,cycles,cpi,ipc,sim_ms,host_s,l1d_acc,l1d_miss,l1d_mr,l1d_mshr_miss,l1d_miss_lat_cyc,l1d_hit_lat,l1d_amat,l1d_mpki,l1d_repl,l1d_wb,l1i_acc,l1i_miss,l1i_mr,l2_acc,l2_miss,l2_mr,l2_miss_lat_cyc,l2_mpki,victim_hits,victim_miss,dram_rd,dram_wr,dram_bytes,dram_lat_cyc,dtlb_acc,dtlb_miss,dtlb_mr,dtlb_mpki,itlb_acc,itlb_miss,page_faults,penalty_cyc,penalty_frac,pf_issued,pf_useful,pf_accuracy,program_output
base_default_chase,base,default,chase,0,3160920,25343157,8.017652139250599,0.12472479257418481,12.671999999999999,2.43,632806,518448,0.8192842672161769,518448,31.590705336,2.0,27.88176787204693,164.01807068828063,517424,517411,4359367,114,2.6e-05,518562,17578,0.033897586016715456,186.73665946,5.561039191121572,0,0,17578,0,1124992,84.51386,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
base_default_chase4m,base,default,chase4m,0,5126955,128992765,25.15972248634911,0.03974606637821897,64.496,4.9,1026016,603540,0.5882364407572591,603540,189.3794181,2.0,113.39987485582486,117.71899694848112,602516,102568,6916033,114,1.6e-05,603654,570739,0.9454737316409731,193.795176078,111.32124233585043,0,0,570739,69653,40985088,91.49288,1027111,531919,0.5178787881738196,103.74949653351746,6916033,4,1091,0,0.0,0,0,0.0,chase: footprint_kib=4096 nodes=65536 hops=500000 final=60
base_default_hello,base,default,hello,0,1401,17309,12.354746609564597,0.08094055115835692,0.009000000000000001,0.01,685,32,0.04671532846715328,32,147.5,2.0,8.89051094890511,22.840827980014275,0,0,1834,50,0.027263,82,82,1.0,146.646341464,58.52962169878658,0,0,82,0,5248,45.09146,685,3,0.004379562043795621,2.1413276231263385,1834,1,0,0,0.0,0,0,0.0,"Hello, World!"
base_default_matmul,base,default,matmul,0,6862544,24657977,3.5931247945368363,0.2783092870919622,12.328999999999999,3.28,1881623,119767,0.06365090137609924,119767,29.821912546,2.0,3.8981916143121027,17.452274258642277,118743,118729,8772200,117,1.3e-05,119884,3632,0.030295952754329183,151.107929516,0.5292497942453994,0,0,3632,0,232448,49.555339999999994,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
base_default_matmulb,base,default,matmulb,0,9102071,27171349,2.9851831522738066,0.3349878211788454,13.586,3.79,1995850,14758,0.007394343262269208,14758,56.99085242,2.0,2.4214099256028057,1.6213892420746883,13734,13720,11175021,120,1.1e-05,14878,3633,0.2441860465116279,150.951555188,0.39913993200009096,0,0,3633,0,232512,49.39884,1995914,120,6.012283094361781e-05,0.013183812782827117,11175021,5,58,0,0.0,0,0,0.0,matmul: n=96 block=16 checksum=219826053362
base_default_pagewalk,base,default,pagewalk,0,4025259,13331063,3.311852231123513,0.30194583882770637,6.666,1.87,505655,89462,0.17692300086027035,89462,26.967874628,2.0,6.771237306009307,22.22515371060595,88923,88917,5033313,122,2.4e-05,89586,727,0.008115107271225415,162.741403026,0.18060949618397226,0,0,727,0,46528,60.95324,506180,501042,0.9898494606661662,124.47447481019233,5033313,6,515,0,0.0,0,0,0.0,pagewalk: pages=512 hops=500000 final=200
base_default_stream,base,default,stream,0,6820444,47146867,6.912580324682675,0.14466378009804978,23.573,3.32,1574368,196674,0.12492250858757292,196674,156.243529902,2.0,21.5183337059353,28.835952615401578,195650,65556,6822833,112,1.6e-05,196786,196786,1.0,151.24095718200002,28.852373833726954,0,0,196786,65556,16789888,49.73364,1575396,4111,0.002609502626641175,0.6027466833537524,6822833,4,1026,0,0.0,0,0,0.0,stream: words=524288 passes=2 checksum=8dd97a8432780000
base_default_stride,base,default,stride,0,8766024,64970069,7.411577814525719,0.13492403709775957,32.485,5.48,1863851,1604169,0.86067448524587,1604169,26.32858134,2.0,24.660338192058518,182.99847228344345,1603145,1603132,11098754,112,1e-05,1604281,4264,0.0026578884871166584,148.136726078,0.4864234914255311,0,0,4264,0,272896,46.60518,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
l1dassoc_16way_chase,l1dassoc,16way,chase,0,3160920,25343157,8.017652139250599,0.12472479257418481,12.671999999999999,2.95,632806,518436,0.8192653040584318,518436,31.591390258,2.0,27.88172994534895,164.01427432519645,517412,517399,4359367,114,2.6e-05,518550,17578,0.03389837045607945,186.75304357800002,5.561039191121572,0,0,17578,0,1124992,84.53024,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
l1dassoc_16way_matmul,l1dassoc,16way,matmul,0,6862544,24604419,3.585320400131496,0.2789151005760388,12.302,3.96,1881623,117553,0.062474257595703284,117553,29.890577015999998,2.0,3.8673916081817916,17.129653376357222,116529,116515,8772200,117,1.3e-05,117670,3632,0.030865981133678933,151.143171806,0.5292497942453994,0,0,3632,0,232448,49.591,1881687,120,6.37725615365361e-05,0.017486226682116718,8772200,5,58,0,0.0,0,0,0.0,matmul: n=96 block=0 checksum=219826053362
l1dassoc_16way_stream,l1dassoc,16way,stream,0,6820444,47146867,6.912580324682675,0.14466378009804978,23.573,3.76,1574368,196674,0.12492250858757292,196674,156.243529902,2.0,21.5183337059353,28.835952615401578,195650,65556,6822833,112,1.6e-05,196786,196786,1.0,151.24095718200002,28.852373833726954,0,0,196786,65556,16789888,49.73364,1575396,4111,0.002609502626641175,0.6027466833537524,6822833,4,1026,0,0.0,0,0,0.0,stream: words=524288 passes=2 checksum=8dd97a8432780000
l1dassoc_16way_stride,l1dassoc,16way,stride,0,8766024,26570117,3.0310340240911957,0.3299204139748425,13.285,4.44,1863851,4168,0.00223623025660313,4168,152.47024952,2.0,2.340958585208453,0.47547211826022834,3144,3131,11098754,112,1e-05,4280,4264,0.9962616822429906,148.15361163199998,0.4864234914255311,0,0,4264,0,272896,46.62196,1863919,142,7.618356806277526e-05,0.016198906140343673,11098754,4,66,0,0.0,0,0,0.0,stride: stride=32768 lines=8 iters=200000 checksum=1605600000
l1dassoc_1way_chase,l1dassoc,1way,chase,0,3160920,25343583,8.017786910140085,0.12472269607655713,12.671999999999999,2.95,632806,518458,0.819300069847631,518458,31.590732518,2.0,27.88228935853523,164.0212343241841,517434,517421,4359367,114,2.6e-05,518572,17578,0.033896932344978134,186.74519285399998,5.561039191121572,0,0,17578,0,1124992,84.5223,633085,393614,0.6217395768340744,124.52513825088899,4359367,4,275,0,0.0,0,0,0.0,chase: footprint_kib=1024 nodes=16384 hops=500000 final=9930
